"provider_vm_id";"source";"fio/4k-seq-write-bandwidth";"fio/4k-seq-write-latency";"fio/4k-seq-write-latency-95-percentile";"fio/8k-rand-read-iops";"fio/8k-rand-read-latency";"fio/8k-rand-read-latency-95-percentile";"iperf/multi-thread-bandwidth";"iperf/single-thread-bandwidth";"md-sim-duration";"stressng/cpu-callfunc-bogo-ops";"stressng/cpu-double-bogo-ops";"stressng/cpu-euler-bogo-ops";"stressng/cpu-fft-bogo-ops";"stressng/cpu-fibonacci-bogo-ops";"stressng/cpu-int64-bogo-ops";"stressng/cpu-loop-bogo-ops";"stressng/cpu-matrixprod-bogo-ops";"stressng/network-epoll-bogo-ops";"stressng/network-icmp-flood-bogo-ops";"stressng/network-sockfd-bogo-ops";"stressng/network-udp-bogo-ops";"sysbench/cpu-multi-thread-duration";"sysbench/cpu-single-thread-duration";"sysbench/fileio-1m-seq-write-latency";"sysbench/fileio-1m-seq-write-latency-95-percentile";"sysbench/fileio-1m-seq-write-throughput";"sysbench/fileio-4k-rand-read-latency";"sysbench/fileio-4k-rand-read-latency-95-percentile";"sysbench/fileio-4k-rand-read-throughput";"sysbench/fileio-4k-rand-write-latency";"sysbench/fileio-4k-rand-write-latency-95-percentile";"sysbench/fileio-4k-rand-write-throughput";"sysbench/memory-default-block-size-throughput";"sysbench/memory-large-block-size-throughput";"sysbench/mutex-latency";"sysbench/threads-128-latency";"sysbench/threads-1-latency";"wordpress-bench/s1-response_time";"wordpress-bench/s1-throughput";"wordpress-bench/s2-response_time";"wordpress-bench/s2-throughput";"wordpress-bench/s3-response_time";"wordpress-bench/s3-throughput"
"i-07fe44e1a493a46b6";"rmit-combined_v3_aws_m3.medium";5278.200000000001;755.34;785.3333333333334;16412.0;59.699999999999996;339.3333333333333;260.0;316.0;487.3340236666666;162748.55000000002;5137.086666666667;4056593.203333333;213.54333333333332;6641822.423333333;28506.91333333333;12123.743333333332;92.53333333333335;27120.803333333333;169460.04333333333;37.17333333333333;78462.86666666665;59.13726666666667;59.18326666666667;25.733333333333334;32.03666666666666;35.86766666666667;0.39999999999999997;0.8033333333333333;9.9085;0.01;0.01;1.9278333333333333;766.0833333333334;4717.97;4468.406666666667;138.30666666666664;0.48;1439.8278804919235;0.6946291522287859;1851.0076281568784;0.5403532555686352;2012.6386290918706;0.54841044127327
"i-084537637a2255213";"rmit-combined_v3_aws_m3.medium";5718.166666666667;696.73;726.6666666666666;17622.0;55.45333333333334;330.0;287.3333333333333;316.0;485.5117136666666;163499.14333333334;5161.29;4067176.8633333333;214.61333333333332;6662574.0200000005;28611.539999999997;12141.826666666666;94.03000000000002;27731.336666666666;171040.65333333335;38.00333333333333;77595.77;58.95413333333334;58.948566666666665;25.74333333333333;32.03333333333333;35.87033333333333;0.34;0.57;11.576666666666668;0.01;0.01;2.1271333333333335;776.7866666666667;4741.743333333333;4453.05;139.82333333333335;0.47;1317.0392038111586;0.7593910191910881;1751.7207280167925;0.5708824811554275;1928.6581299426343;0.5508059604284641
"i-087bd73ec35da2157";"rmit-combined_v3_aws_m3.medium";5663.033333333333;703.9166666666666;785.3333333333334;14384.333333333334;68.19333333333333;376.6666666666667;287.6666666666667;316.0;487.13024133333334;163183.67333333334;5131.31;4054912.293333333;212.5566666666667;6644226.759999999;28510.716666666664;12112.58;92.15333333333332;26188.8;169579.4;36.91;77718.56;59.18299999999999;59.183166666666665;25.746666666666666;32.03;35.86366666666667;0.22666666666666668;0.48;17.181;0.01;0.01;2.102;769.71;4709.04;4464.953333333334;140.09666666666666;0.48;1450.8808273632064;0.6894189343927244;1847.118012959022;0.5414990309199671;2043.5546661571661;0.5302620691475702
"i-08963869f16959163";"rmit-combined_v3_aws-us_m1.small";5003.400000000001;795.8433333333332;1220.0;13301.333333333334;69.76333333333332;390.0;266.0;313.0;851.8196123333333;97310.08333333333;2912.6666666666665;1914988.7;119.96;2815121.456666667;17526.62;7559.2;57.06333333333333;6852.146666666667;57716.246666666666;6.080000000000001;16593.263333333332;96.27723333333334;96.29946666666666;25.673333333333332;35.669999999999995;36.269666666666666;0.27666666666666667;0.41;14.375;0.02;0.02;1.3182333333333334;110.87666666666667;2766.543333333333;7272.650000000001;1122.32;3.6133333333333333;2616.1117281722677;0.3822617370479704;3268.6609417994864;0.30596795210991207;3279.575789732137;0.3098299516654986
"i-089a614978bfacfe9";"rmit-combined_v3_aws_m3.medium";5934.899999999999;669.7833333333333;740.0;15577.333333333334;61.07333333333333;346.0;287.3333333333333;316.0;490.192071;162965.94333333333;5132.663333333333;4053322.5399999996;213.59333333333333;6632353.823333333;28520.013333333332;12050.366666666667;90.30666666666667;20618.976666666666;109155.70666666667;32.01333333333333;56057.96333333334;59.29573333333334;59.292033333333336;25.74333333333333;32.053333333333335;35.871;0.2966666666666667;0.57;13.451666666666668;0.01;0.01;2.1671666666666667;171.42;4590.706666666667;4470.143333333333;430.3533333333333;1.6633333333333333;1424.518780058191;0.7020895354517304;1830.920328746722;0.5462563214487105;1987.7402218407076;0.5436084721071194
"i-08b83825c468847cb";"rmit-combined_v3_aws_m3.medium";5961.433333333333;668.3866666666667;710.6666666666666;18005.0;54.23333333333333;308.6666666666667;287.6666666666667;316.0;494.70126266666665;163073.00666666668;5137.28;4059101.2600000002;213.29999999999998;6647799.579999999;28562.74;12101.213333333333;92.89999999999999;26705.63333333333;171530.60666666666;37.49;79248.52;59.10906666666667;59.12113333333334;25.74;32.02333333333334;35.873;0.29333333333333333;0.6699999999999999;13.809;0.01;0.01;2.2316333333333334;763.3699999999999;4710.326666666667;4464.383333333334;140.54;0.4766666666666666;1339.5847228988007;0.746525660382234;1755.1814021400369;0.5697568742937059;1997.618791147771;0.5446290195327547
"i-08cacc0b6d58494d5";"rmit-combined_v3_aws_m3.medium";5783.666666666667;688.8966666666666;865.3333333333334;15374.0;63.75333333333333;363.3333333333333;287.0;316.0;485.95528200000007;163164.48;5140.673333333333;4067326.8866666667;214.39666666666668;6661425.59;28509.253333333338;12071.693333333335;91.91000000000001;26397.166666666668;168680.47333333336;37.98666666666667;77558.69;59.02713333333333;59.0428;25.733333333333334;32.02333333333333;35.870666666666665;0.26333333333333336;0.5466666666666667;14.794666666666666;0.01;0.01;2.1507;775.3633333333332;4729.366666666666;4455.776666666668;140.03;0.4766666666666666;1356.9844798467905;0.7369749207524658;1769.586418796719;0.5651090704722793;2002.299924996827;0.5373507310235585
"i-08d374511a3e93321";"rmit-combined_v3_aws_m3.medium";5368.3;748.7800000000001;1181.3333333333333;13206.666666666666;78.88666666666667;346.0;287.6666666666667;316.0;486.849586;163725.81333333335;5136.063333333333;4066398.446666667;213.39;6659507.646666667;28590.02;11973.54;91.50666666666666;26298.463333333333;167779.67;36.92666666666667;77299.22333333333;58.973800000000004;58.97733333333334;25.74333333333333;32.45333333333334;35.86966666666667;0.5266666666666667;2.1366666666666667;8.627466666666665;0.01;0.01;2.1772333333333336;770.9766666666668;4715.29;4454.61;137.6;0.47333333333333333;1373.5893366745895;0.7280636536000307;1795.3219339240786;0.5570269277179255;2016.2828277012156;0.533482571453834
"i-08d9da1d0a097f145";"rmit-combined_v3_aws-us_m3.medium";5824.7;684.7166666666667;976.0;17563.666666666668;55.63666666666666;336.6666666666667;290.0;316.0;485.075889;163524.99;5146.006666666667;4057246.73;214.14666666666665;6649429.739999999;28547.733333333334;12137.36;90.50333333333333;27561.97666666667;171118.78;37.71333333333333;79378.08999999998;59.10443333333333;59.09796666666667;25.74;32.02333333333333;35.86933333333334;0.3433333333333333;0.9733333333333333;11.419833333333335;0.01;0.01;2.0952;760.9966666666668;4734.263333333333;4463.8533333333335;133.96666666666667;0.4766666666666666;1317.9821009418329;0.7587799335417569;1808.513561278896;0.552942836804481;1964.0014522929898;0.5473581450530601
"i-08e8ca7c502de2ef3";"rmit-combined_v3_aws-us_m3.medium";6059.399999999999;657.1866666666666;745.3333333333334;16423.666666666668;59.626666666666665;355.3333333333333;290.0;316.0;486.8649573333333;163057.9833333333;5140.486666666667;4057082.02;213.8033333333333;6644053.463333334;28535.253333333338;12071.236666666666;91.29333333333334;27133.27666666667;168567.3633333333;36.79666666666667;78679.84000000001;59.1531;59.1472;25.789999999999996;32.03333333333333;35.81366666666667;0.27;0.5433333333333333;14.362666666666668;0.01;0.01;1.8975666666666668;774.94;4701.283333333333;4463.72;135.54999999999998;0.48;1399.9790095633898;0.7143166154033368;1813.0484457043758;0.5516214307369983;2051.82815785314;0.5185380384796416
